feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
anisotropy,flat_J_t,"(1.02, 1.04]",1.02,1.04,1.03,10,0.08187745751781984,0.03452169627545851,0.010916718892300038
anisotropy,flat_J_t,"(1.04, 1.06]",1.04,1.06,1.05,17,0.09312384349431685,0.03965626966280124,0.009618058149276867
anisotropy,flat_J_t,"(1.06, 1.08]",1.06,1.08,1.07,17,0.08909999801110868,0.024009299102896394,0.0058231103646052456
anisotropy,flat_J_t,"(1.08, 1.1]",1.08,1.1,1.09,28,0.09939181247236596,0.03881378501235126,0.0073351158988433935
anisotropy,flat_J_t,"(1.1, 1.12]",1.1,1.12,1.11,19,0.10748234559112571,0.06296464589295515,0.014445080445432358
anisotropy,flat_J_t,"(1.12, 1.14]",1.12,1.14,1.13,30,0.11159691826517705,0.07116022754654541,0.012992020608147808
anisotropy,flat_J_t,"(1.14, 1.16]",1.14,1.16,1.15,35,0.089299188960885,0.03343851298199984,0.00565214030370638
anisotropy,flat_J_t,"(1.16, 1.18]",1.16,1.18,1.17,39,0.09813380888613263,0.031245639012443264,0.005003306489522746
anisotropy,flat_J_t,"(1.18, 1.2]",1.18,1.2,1.19,34,0.09775403394191291,0.036530397709791655,0.006264911521922414
anisotropy,flat_J_t,"(1.2, 1.22]",1.2,1.22,1.21,30,0.08314800069230886,0.024018333314532073,0.00438512765001568
anisotropy,flat_J_t,"(1.22, 1.24]",1.22,1.24,1.23,36,0.10019879769604732,0.042899681614841624,0.007149946935806937
anisotropy,flat_J_t,"(1.24, 1.26]",1.24,1.26,1.25,36,0.09644414224194002,0.04376560213720155,0.007294267022866925
anisotropy,flat_J_t,"(1.26, 1.28]",1.26,1.28,1.27,36,0.0923304495983774,0.04947530408027528,0.008245884013379213
anisotropy,flat_J_t,"(1.28, 1.3]",1.28,1.3,1.29,44,0.10294181978985581,0.06588541228099354,0.00993259962245133
anisotropy,flat_J_t,"(1.3, 1.32]",1.3,1.32,1.31,48,0.08590283440820788,0.038102811321145284,0.0054996670932861876
anisotropy,flat_J_t,"(1.32, 1.34]",1.32,1.34,1.33,52,0.09935883040885894,0.03996735779258583,0.005542475302537825
anisotropy,flat_J_t,"(1.34, 1.36]",1.34,1.36,1.35,49,0.09719666394079814,0.05231148550096761,0.007473069357281087
anisotropy,flat_J_t,"(1.36, 1.38]",1.36,1.38,1.37,38,0.08493070532284926,0.03477883182055649,0.005641871523198459
anisotropy,flat_J_t,"(1.38, 1.4]",1.38,1.4,1.39,49,0.08943121080899545,0.03779003341243579,0.005398576201776541
anisotropy,flat_J_t,"(1.4, 1.42]",1.4,1.42,1.41,54,0.09520542436000426,0.037675108933774314,0.005126932938417725
anisotropy,flat_J_t,"(1.42, 1.44]",1.42,1.44,1.43,54,0.09290813553961207,0.03992625811657497,0.005433275540236889
anisotropy,flat_J_t,"(1.44, 1.46]",1.44,1.46,1.45,52,0.10183259906942158,0.05073112584154019,0.007035141364757283
anisotropy,flat_J_t,"(1.46, 1.48]",1.46,1.48,1.47,52,0.08747965975564996,0.03180044640569293,0.004409928465321938
anisotropy,flat_J_t,"(1.48, 1.5]",1.48,1.5,1.49,48,0.09628316604745148,0.03371537031165112,0.004866394531314923
anisotropy,flat_J_t,"(1.5, 1.52]",1.5,1.52,1.51,58,0.09625083941033155,0.04899197973504728,0.006432962097744873
anisotropy,flat_J_t,"(1.52, 1.54]",1.52,1.54,1.53,61,0.08938575582627044,0.046267179312944925,0.0059239052825252984
anisotropy,flat_J_t,"(1.54, 1.56]",1.54,1.56,1.55,54,0.09134537034389743,0.04752894397848856,0.0064678700422568895
anisotropy,flat_J_t,"(1.56, 1.58]",1.56,1.58,1.57,52,0.08425268847193694,0.03450133840960605,0.004784474796460378
anisotropy,flat_J_t,"(1.58, 1.6]",1.58,1.6,1.59,53,0.087999366142596,0.04771174965050034,0.006553712838971393
anisotropy,flat_J_t,"(1.6, 1.62]",1.6,1.62,1.61,46,0.09573758667321065,0.05486666524235048,0.008089648451028058
anisotropy,flat_J_t,"(1.62, 1.64]",1.62,1.64,1.63,40,0.1020084802618481,0.049495362694246245,0.007825903986497315
anisotropy,flat_J_t,"(1.64, 1.66]",1.64,1.66,1.65,56,0.09425991536181219,0.035325556354979436,0.00472057603133957
anisotropy,flat_J_t,"(1.66, 1.68]",1.66,1.68,1.67,48,0.09598999070767199,0.03451711600482348,0.004982116554258595
anisotropy,flat_J_t,"(1.68, 1.7]",1.68,1.7,1.69,44,0.09031417792797464,0.031288453323766376,0.004716911815703699
anisotropy,flat_J_t,"(1.7, 1.72]",1.7,1.72,1.71,47,0.08525927635554698,0.03265926146488202,0.004763842895902531
