feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
anisotropy,hill_J_t,"(1.02, 1.04]",1.02,1.04,1.03,10,0.1677218256442357,0.03626503617294625,0.011468011373490608
anisotropy,hill_J_t,"(1.04, 1.06]",1.04,1.06,1.05,17,0.1707594334219621,0.02317768222108478,0.0056214136443843
anisotropy,hill_J_t,"(1.06, 1.08]",1.06,1.08,1.07,17,0.16677695700268433,0.024604450757379527,0.00596745584311672
anisotropy,hill_J_t,"(1.08, 1.1]",1.08,1.1,1.09,28,0.1797282424122913,0.06823144584811253,0.012894531236319737
anisotropy,hill_J_t,"(1.1, 1.12]",1.1,1.12,1.11,19,0.16671864364796848,0.02629211597159335,0.006031825080633006
anisotropy,hill_J_t,"(1.12, 1.14]",1.12,1.14,1.13,30,0.18770886303337017,0.06041764170254289,0.011030701743915856
anisotropy,hill_J_t,"(1.14, 1.16]",1.14,1.16,1.15,35,0.1697786418257435,0.03819807648024168,0.006456653371944307
anisotropy,hill_J_t,"(1.16, 1.18]",1.16,1.18,1.17,39,0.1757512113941489,0.028768232219992914,0.004606603913623488
anisotropy,hill_J_t,"(1.18, 1.2]",1.18,1.2,1.19,34,0.18742730359589665,0.04703711203313942,0.008066798162873088
anisotropy,hill_J_t,"(1.2, 1.22]",1.2,1.22,1.21,30,0.16240533482447245,0.02582474248926942,0.004714931334378326
anisotropy,hill_J_t,"(1.22, 1.24]",1.22,1.24,1.23,36,0.18361420164076547,0.04529471854831596,0.00754911975805266
anisotropy,hill_J_t,"(1.24, 1.26]",1.24,1.26,1.25,36,0.1668319741564926,0.03326959214786529,0.005544932024644215
anisotropy,hill_J_t,"(1.26, 1.28]",1.26,1.28,1.27,36,0.16882755855077336,0.034640988740430895,0.005773498123405149
anisotropy,hill_J_t,"(1.28, 1.3]",1.28,1.3,1.29,44,0.17448652369053355,0.04548418961484317,0.006856999583900659
anisotropy,hill_J_t,"(1.3, 1.32]",1.3,1.32,1.31,48,0.1688127024926959,0.03716820494838411,0.005364768283061187
anisotropy,hill_J_t,"(1.32, 1.34]",1.32,1.34,1.33,52,0.18146619928211738,0.049451439312823746,0.006857680772610836
anisotropy,hill_J_t,"(1.34, 1.36]",1.34,1.36,1.35,49,0.17208973463161692,0.041451866223180124,0.005921695174740018
anisotropy,hill_J_t,"(1.36, 1.38]",1.36,1.38,1.37,38,0.17085464129812578,0.04495556088117694,0.00729275497387504
anisotropy,hill_J_t,"(1.38, 1.4]",1.38,1.4,1.39,49,0.16732893670271193,0.02811731491890394,0.004016759274129134
anisotropy,hill_J_t,"(1.4, 1.42]",1.4,1.42,1.41,54,0.1690999371630369,0.040886333133398685,0.005563925201682004
anisotropy,hill_J_t,"(1.42, 1.44]",1.42,1.44,1.43,54,0.17601138794323634,0.03840716011767307,0.005226552486537296
anisotropy,hill_J_t,"(1.44, 1.46]",1.44,1.46,1.45,52,0.1704014377213035,0.029543534534197457,0.00409695110082654
anisotropy,hill_J_t,"(1.46, 1.48]",1.46,1.48,1.47,52,0.17014210679908762,0.049614108848023676,0.006880238978384653
anisotropy,hill_J_t,"(1.48, 1.5]",1.48,1.5,1.49,48,0.173369624383272,0.026074952515906222,0.003763595213541292
anisotropy,hill_J_t,"(1.5, 1.52]",1.5,1.52,1.51,58,0.16632372982243038,0.03680872585103407,0.004833222489610739
anisotropy,hill_J_t,"(1.52, 1.54]",1.52,1.54,1.53,61,0.16322696900112005,0.0341997226577404,0.00437882578366745
anisotropy,hill_J_t,"(1.54, 1.56]",1.54,1.56,1.55,54,0.17655570597976789,0.041298968233327765,0.005620077726392481
anisotropy,hill_J_t,"(1.56, 1.58]",1.56,1.58,1.57,52,0.16402034987710132,0.038130756548285745,0.005287784534887636
anisotropy,hill_J_t,"(1.58, 1.6]",1.58,1.6,1.59,53,0.16706456424918234,0.03426737305897011,0.004706985688420247
anisotropy,hill_J_t,"(1.6, 1.62]",1.6,1.62,1.61,46,0.17137751307399532,0.040218419946350975,0.005929882510349121
anisotropy,hill_J_t,"(1.62, 1.64]",1.62,1.64,1.63,40,0.17028855311330232,0.030546665850337582,0.004829851950557543
anisotropy,hill_J_t,"(1.64, 1.66]",1.64,1.66,1.65,56,0.1695438914576786,0.03776004815744801,0.0050458986826162535
anisotropy,hill_J_t,"(1.66, 1.68]",1.66,1.68,1.67,48,0.17903841216883476,0.03926402696508744,0.00566727413444049
anisotropy,hill_J_t,"(1.68, 1.7]",1.68,1.7,1.69,44,0.17119608623266044,0.030482673111113592,0.00459543587802815
anisotropy,hill_J_t,"(1.7, 1.72]",1.7,1.72,1.71,47,0.1612422244370958,0.029909073560780722,0.004362686760653183
anisotropy,hill_J_t,"(1.72, 1.74]",1.72,1.74,1.73,71,0.16856283880846049,0.04133316112096418,0.004905343749353158
