feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
anisotropy,J_universal,"(1.02, 1.04]",1.02,1.04,1.03,10,0.14138438290410482,0.03301972357053073,0.010441753419202459
anisotropy,J_universal,"(1.04, 1.06]",1.04,1.06,1.05,17,0.14845183028285402,0.021271228359346188,0.005159030665424599
anisotropy,J_universal,"(1.06, 1.08]",1.06,1.08,1.07,17,0.14508228406423124,0.02278221323798144,0.005525498327384848
anisotropy,J_universal,"(1.08, 1.1]",1.08,1.1,1.09,28,0.1538610252968245,0.051313187944201324,0.009697281019876743
anisotropy,J_universal,"(1.1, 1.12]",1.1,1.12,1.11,19,0.151193581640242,0.03548572448684972,0.008140983525079193
anisotropy,J_universal,"(1.12, 1.14]",1.12,1.14,1.13,31,0.17386186168418674,0.07380067861958178,0.013254993173250936
anisotropy,J_universal,"(1.14, 1.16]",1.14,1.16,1.15,35,0.1444416390505232,0.029413977682547953,0.0049718696773790065
anisotropy,J_universal,"(1.16, 1.18]",1.16,1.18,1.17,39,0.14829113856371096,0.024171911358109328,0.003870603539714263
anisotropy,J_universal,"(1.18, 1.2]",1.18,1.2,1.19,34,0.15877819025574982,0.037274037403464105,0.006392444677243048
anisotropy,J_universal,"(1.2, 1.22]",1.2,1.22,1.21,30,0.13583653389200898,0.0185704385798467,0.003390482704315413
anisotropy,J_universal,"(1.22, 1.24]",1.22,1.24,1.23,36,0.16071912648958575,0.048062838820182106,0.008010473136697017
anisotropy,J_universal,"(1.24, 1.26]",1.24,1.26,1.25,36,0.14590507278444742,0.030529893246138244,0.005088315541023041
anisotropy,J_universal,"(1.26, 1.28]",1.26,1.28,1.27,36,0.1441678997508092,0.035927098960838524,0.005987849826806421
anisotropy,J_universal,"(1.28, 1.3]",1.28,1.3,1.29,44,0.1537343524484249,0.05518253355571441,0.008319079944795506
anisotropy,J_universal,"(1.3, 1.32]",1.3,1.32,1.31,48,0.1414401990338315,0.03234333615879275,0.004668358459442388
anisotropy,J_universal,"(1.32, 1.34]",1.32,1.34,1.33,52,0.15796793558129146,0.043243218139483265,0.005996755396845439
anisotropy,J_universal,"(1.34, 1.36]",1.34,1.36,1.35,49,0.147525990653436,0.03779464749088448,0.0053992353558406396
anisotropy,J_universal,"(1.36, 1.38]",1.36,1.38,1.37,38,0.14324793937476313,0.03122878150026777,0.005065977315155504
anisotropy,J_universal,"(1.38, 1.4]",1.38,1.4,1.39,49,0.14299678462755366,0.030837404156016962,0.004405343450859566
anisotropy,J_universal,"(1.4, 1.42]",1.4,1.42,1.41,54,0.14751553344411544,0.03224598279811631,0.004388122450552706
anisotropy,J_universal,"(1.42, 1.44]",1.42,1.44,1.43,55,0.15423738276101573,0.047224443009187586,0.006367742596339497
anisotropy,J_universal,"(1.44, 1.46]",1.44,1.46,1.45,53,0.16419447210154908,0.11393551628517704,0.01565024677071696
anisotropy,J_universal,"(1.46, 1.48]",1.46,1.48,1.47,53,0.16371413015194375,0.11523721584903694,0.01582904895690052
