feature,n,pearson_r,pearson_p,spearman_rho,spearman_p
mean_dist_to_boundary,4975,-0.36766288258416613,4.554256008278469e-159,-0.42673096553791656,2.2544111927562165e-219
mean_radius,4975,0.26433213338319916,2.584527755957498e-80,0.3238176028638845,8.35709180781379e-122
fraction_near_boundary_0p15L,4975,0.2764134957091996,6.04797356953786e-88,0.3089414526027804,1.7325953392660295e-110
mean_pairwise_dist,4975,0.22334966651772953,2.7755638909644947e-57,0.28108974819134636,5.271104899466684e-91
fraction_near_boundary_0p1L,4975,0.23281367038691203,3.2177788879099686e-62,0.2570386196684562,6.76526324042882e-76
convex_hull_perimeter,4975,0.1717415187461382,3.0599494575644093e-34,0.21340233090952887,2.452297711341048e-52
convex_hull_area,4975,0.14819991415920059,7.891070452872665e-26,0.18834049308987974,5.9568091856605e-41
min_dist_to_boundary,4975,-0.1340994224025101,2.11751744512393e-21,-0.15008507429182574,1.865081646066713e-26
nearest_neighbor_std,4975,0.16066928016359538,3.9976258063630966e-30,0.14195609698993963,8.202705461000248e-24
min_pairwise_dist,4975,-0.13189738143298452,9.479247651473723e-21,-0.12188403355936221,6.3009986602065324e-18
std_radius,4975,-0.03520101861382883,0.01302800109289894,-0.08970505300346952,2.3213462116997486e-10
angular_gap_std,4975,0.1278121800322864,1.4305195687157066e-19,0.08798545046824074,5.085715337058609e-10
max_angular_gap,4975,0.11262712769733643,1.620863378536944e-15,0.0732852791568297,2.2822786749005514e-07
nearest_neighbor_mean,4975,-0.05756177242596105,4.8572472830040965e-05,-0.03719663434561363,0.008693844263075155
anisotropy,4975,0.05229635916115886,0.00022403118242426119,0.002203666079399203,0.8765108649371597
