feature,n,pearson_r,pearson_p,spearman_rho,spearman_p
mean_dist_to_boundary,4975,-0.24468270057117936,9.904198633761312e-69,-0.28402248531219004,5.92142300627655e-93
mean_radius,4975,0.22571730172668186,1.6970631230984985e-58,0.27411826654284227,1.8264457078420847e-86
mean_pairwise_dist,4975,0.20020787365698156,3.748849286299333e-46,0.24589948245994947,2.03142498430885e-69
fraction_near_boundary_0p15L,4975,0.17721535432245172,2.2119672657871026e-36,0.206918057453278,3.0342643085131933e-49
convex_hull_perimeter,4975,0.1670728634487803,1.8036554549363442e-32,0.20301884472299633,1.9590526320218496e-47
convex_hull_area,4975,0.1585506787501394,2.274519620937933e-29,0.19293763372344447,6.316368297979191e-43
fraction_near_boundary_0p1L,4975,0.15779400507570276,4.207819090854144e-29,0.18421069770770301,3.204159652224429e-39
min_dist_to_boundary,4975,-0.09973504945830751,1.7828019159558525e-12,-0.10680288142234333,4.2561137010722306e-14
nearest_neighbor_std,4975,0.0964360869487185,9.349718920066576e-12,0.09177636999085936,8.85032369253172e-11
std_radius,4975,-0.05133984179814495,0.00029158105657999873,-0.08623038627796631,1.1153137487260576e-09
anisotropy,4975,-0.007579356537250826,0.5930141540936841,-0.06300973730528611,8.683036741478495e-06
min_pairwise_dist,4975,-0.06507825917995262,4.34984147341313e-06,-0.06057367785249053,1.9084856317723384e-05
angular_gap_std,4975,0.07444486505958574,1.4654680359618324e-07,0.04466091438734989,0.0016277980503861009
nearest_neighbor_mean,4975,0.0011190493949604433,0.9371035232405458,0.032062183646776,0.023729741559007964
max_angular_gap,4975,0.04744437662005537,0.0008155263809032547,0.014102770493755886,0.3199698735299524
