feature,n,pearson_r,pearson_p,spearman_rho,spearman_p
mean_dist_to_boundary,5000,-0.29805059649470056,4.086226379609984e-103,-0.3795544683981787,4.431721977811492e-171
mean_radius,5000,0.2622367585505973,2.0332536625526506e-79,0.32229144501965773,3.2850753779981377e-121
mean_pairwise_dist,5000,0.23316430439850958,1.0370539016857221e-62,0.28452354514094175,9.497803256488336e-94
fraction_near_boundary_0p15L,5000,0.22200648618303076,7.082128227346367e-57,0.27449046168768937,3.9467886756027662e-87
fraction_near_boundary_0p1L,5000,0.20633684216361853,3.2880427622964915e-49,0.24762023897131655,9.631289562036227e-71
convex_hull_perimeter,5000,0.19303808173490483,3.5442223975362512e-43,0.23203267676930706,4.187093968245266e-62
convex_hull_area,5000,0.1869066450879433,1.5360450307825792e-40,0.1983895558715822,1.4921113933242237e-45
min_dist_to_boundary,5000,-0.11574387345150002,2.2139791810128136e-16,-0.14448082907523316,9.85279528681294e-25
nearest_neighbor_std,5000,0.1264962103070168,2.7452577821981597e-19,0.1355528987981159,6.143623635280171e-22
min_pairwise_dist,5000,-0.07580196477714768,8.032815245589517e-08,-0.10613255406930215,5.3090020175231156e-14
angular_gap_std,5000,0.10338868126353598,2.327401716397434e-13,0.09625132474605298,9.095570717809658e-12
std_radius,5000,-0.044062314066642974,0.001830671792831802,-0.07743727864949114,4.1934044337072636e-08
max_angular_gap,5000,0.06841094715587592,1.2863724257317722e-06,0.06665963085838522,2.386234508591305e-06
anisotropy,5000,0.01556444585785523,0.27117356007603977,-0.017870393226815728,0.2064409529661767
nearest_neighbor_mean,5000,-0.013142953088054314,0.3528088218089221,-0.01614174592566983,0.2537938764125522
