feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,boot_pearson_low,boot_pearson_high,boot_spearman_low,boot_spearman_high
min_pairwise_dist,50,-0.31075773282565466,0.028055447929117315,-0.31476590636254503,0.025989852434777402,-0.5213173618813775,-0.06351203901147855,-0.5541282515346281,-0.026121250875818486
fraction_near_boundary_0p1L,50,0.2657837974026917,0.062104376243047585,0.2215258135401155,0.1220842455633488,-0.019411597540376524,0.5231055282332472,-0.08217221584330413,0.49509255808912234
angular_gap_std,50,-0.14824824193842118,0.30420834648507455,-0.21968787515006,0.1252925714517904,-0.45193900937051934,0.13371170139958535,-0.47733274931480496,0.06522196238582656
anisotropy,50,-0.19564585616942173,0.17331314088637484,-0.21805522208883552,0.12819555612917163,-0.39061445912906056,0.08208800467354974,-0.49864141202768103,0.06520619062948468
min_dist_to_boundary,50,-0.10047209311326136,0.4875344870287681,-0.2121968787515006,0.13902974438675858,-0.3968321136090546,0.15545672204902705,-0.4418804315997813,0.044018366118313106
std_radius,50,-0.26828260683005783,0.05959764259644513,-0.2067226890756302,0.14975726902972167,-0.5106940648493326,0.02412717234695103,-0.4546737197520256,0.07571976959136463
max_angular_gap,50,-0.15038834552534855,0.29720179691719617,-0.17887154861944776,0.213914031814904,-0.4530662747088378,0.16138257648794768,-0.4533250915381621,0.12853598519708137
nearest_neighbor_std,50,0.15294842408749282,0.2889586389160961,0.1570708283313325,0.2760014713003755,-0.09668252555503382,0.4019802625852204,-0.11633990439711826,0.41640222163108964
fraction_near_boundary_0p15L,50,0.14987388789347925,0.29887647753586294,0.14537405428588954,0.3137839596928319,-0.19414584164242865,0.46887193335345567,-0.156302815063367,0.4327029723530172
nearest_neighbor_mean,50,-0.17372650685648872,0.22760094260758157,-0.07553421368547418,0.6021269961462217,-0.4554719443875114,0.15587865924838967,-0.3883996949040852,0.2489903929395919
convex_hull_area,50,0.026550223384884927,0.8547806223312779,0.04441776710684273,0.7593851958109288,-0.26105829601252845,0.30815800037553404,-0.24726160382211565,0.3526392797430353
mean_dist_to_boundary,50,-0.07218911157828592,0.6183472547308253,-0.03990396158463385,0.7832113995200589,-0.33962237983517873,0.22349458381175416,-0.31634453579499017,0.24473128634023303
convex_hull_perimeter,50,-0.11121024791969314,0.44196746713529006,-0.03202881152460984,0.8252433300244186,-0.36672915440548204,0.17356825641656534,-0.33044634265265754,0.2718808214187664
mean_radius,50,-0.0012171946233109632,0.9933064889358632,0.028667466986794718,0.8433400096067155,-0.2647596769491885,0.2803525212623478,-0.25683064404530687,0.3243948851450396
mean_pairwise_dist,50,-0.04703868725507625,0.7456498884899196,0.018871548619447776,0.8965044166938533,-0.29543834656178963,0.22836769269227927,-0.2544096126749745,0.31107723154008665
