feature,mdi_importance,permutation_importance_mean,permutation_importance_std,mdi_rank,perm_rank
mean_dist_to_boundary,0.1557178698647846,0.0012694278349030975,3.891054072529758e-05,2,1
mean_pairwise_dist,0.21402731155371277,0.000691884096943756,1.3151397159045167e-05,1,2
nearest_neighbor_mean,0.054466481099002595,0.00037629273133930543,1.0410486501227906e-05,6,3
angular_gap_std,0.05661170951439701,0.0003760818554074173,1.6917497322961327e-05,5,4
nearest_neighbor_std,0.07415844045356602,0.0003423396274022875,8.38866764517338e-06,4,5
mean_radius,0.09167390033249076,0.00030390810781672623,6.785193548372231e-06,3,6
min_pairwise_dist,0.052441764717537726,0.0002862694636835127,1.1107284035570473e-05,9,7
convex_hull_perimeter,0.04410077516794112,0.00018947436819753788,2.5150912211737346e-06,11,8
anisotropy,0.0533551804911635,0.00018805050461512127,6.738061906574385e-06,7,9
convex_hull_area,0.05116808228495345,0.00018113888541491672,2.8555913051675918e-06,10,10
min_dist_to_boundary,0.05265697399784368,0.00015902292337448103,7.284765593012855e-06,8,11
max_angular_gap,0.039645687845297685,0.0001548570742594,4.186738220307125e-06,13,12
std_radius,0.04031821411931387,0.00013745409054724702,2.977629092318513e-06,12,13
fraction_near_boundary_0p15L,0.010379024003025601,4.0904564829977325e-05,1.5651901688503279e-06,14,14
fraction_near_boundary_0p1L,0.009278584554969617,3.1975045157358075e-05,1.1306372901653635e-06,15,15
