feature,top_mean,rest_mean,mean_diff_top_minus_rest,cohen_d
mean_dist_to_boundary,0.2281867154010387,0.17946626973916785,0.04872044566187084,1.3151635183560082
anisotropy,5.0419378358734255,2.776076000177899,2.2658618356955267,1.0274574778708676
mean_radius,0.30002727363429443,0.3434228845820647,-0.04339561094777028,-0.9298010664499539
fraction_near_boundary_0p15L,0.325,0.47157603222557903,-0.14657603222557902,-0.8794668457260917
mean_pairwise_dist,0.46109000718725,0.5097889843390526,-0.0486989771518026,-0.7669624090563125
nearest_neighbor_std,0.06654101292221118,0.08992764530341787,-0.023386632381206696,-0.6915767388486165
convex_hull_area,0.2910041590313753,0.357328277108917,-0.06632411807754174,-0.6792854348380069
std_radius,0.14631853708530698,0.12729491620643235,0.01902362087887463,0.6620753495624608
fraction_near_boundary_0p1L,0.2125,0.31148036253776434,-0.09898036253776435,-0.6420970028811248
convex_hull_perimeter,2.308894730879257,2.4538818039418127,-0.14498707306255554,-0.5066044628913018
min_pairwise_dist,0.14376974041728624,0.12606933879391183,0.017700401623374412,0.49708303586512886
max_angular_gap,1.7873528285744462,1.6715466898902125,0.11580613868423373,0.39043527316978427
angular_gap_std,0.5656865079380944,0.515575844276919,0.050110663661175336,0.3870305015163221
min_dist_to_boundary,0.05092019505243349,0.04625953355498034,0.0046606614974531516,0.18918406971221854
nearest_neighbor_mean,0.21273393188032713,0.21858541145523755,-0.005851479574910418,-0.15532365737347492
