reeval_rank,original_rank,sample_id,repeat_idx,coarse_J,reeval_J,valid,failure_reason,terrain_master_seed,mc_base_seed,n_events,n_seeds,layout_json,flat_J_t,flat_mean_err,flat_median_err,flat_p95_err,flat_valid_rate,flat_dgeom,flat_usable_event_rate,hill_J_t,hill_mean_err,hill_median_err,hill_p95_err,hill_valid_rate,hill_dgeom,hill_usable_event_rate,rough_J_t,rough_mean_err,rough_median_err,rough_p95_err,rough_valid_rate,rough_dgeom,rough_usable_event_rate
1,46,4962,1,0.0936874556586487,0.10183643958701502,True,,310001,910001,100,5,"[[0.19113239063291457, 0.6680805610988734], [0.7191279415887656, 0.9604629924011301], [0.5448477614178856, 0.3234408065447684], [0.41974362115846947, 0.06925196901130075], [0.5709411800725394, 0.8644636930538875], [0.6170302276211241, 0.5743293278436381], [0.5856242473572258, 0.46594695737987385], [0.3322567929343144, 0.422664786953509]]",0.055745158121317494,0.005173615029136718,0.0021508445576021115,0.011056771194019937,0.666,0.0,0.666,0.12241487695155226,0.0052785389635906545,0.0021989090520335417,0.01131822605270807,0.652,0.6444406660212405,0.652,0.10677084632363808,0.005417409381112603,0.002227241522027995,0.014339939548236796,0.6500000000000001,0.4753103023766639,0.6500000000000001
1,46,4962,2,0.0936874556586487,0.10828114395289114,True,,410004,1010004,100,5,"[[0.19113239063291457, 0.6680805610988734], [0.7191279415887656, 0.9604629924011301], [0.5448477614178856, 0.3234408065447684], [0.41974362115846947, 0.06925196901130075], [0.5709411800725394, 0.8644636930538875], [0.6170302276211241, 0.5743293278436381], [0.5856242473572258, 0.46594695737987385], [0.3322567929343144, 0.422664786953509]]",0.06167802579154304,0.006158482238042104,0.0025237557086921466,0.022355695948080324,0.652,0.0,0.652,0.1342934475039898,0.006407477015259767,0.0026271054525267867,0.01136784056321934,0.6419999999999999,0.7429973067815707,0.6419999999999999,0.10285965501204195,0.007556035112216903,0.0025438162630101145,0.011402383657113562,0.6399999999999999,0.42038724114410264,0.6399999999999999
2,26,2966,1,0.0905254617829553,0.10166637285574473,True,,310001,910001,100,5,"[[0.5025420556712911, 0.403220067875347], [0.8062626939230776, 0.15479428812966536], [0.728864920027161, 0.3633710879844952], [0.3788557333026085, 0.9474072140388579], [0.604875155226743, 0.6495615430261206], [0.8254599247484737, 0.5327158088758711], [0.5552286353002276, 0.8585115837441882], [0.14167078313034873, 0.641889580821068]]",0.05892615272003293,0.0024574243170513202,0.0019101190631800173,0.0057343725911994615,0.626,0.0,0.626,0.11298121937773004,0.0027602881828608554,0.0020292749558716073,0.006984067132604306,0.626,0.5354386955566135,0.626,0.11737905966260798,0.0027806776277157835,0.0021195325144208435,0.006622606794816771,0.622,0.5744097269169084,0.622
2,26,2966,2,0.0905254617829553,0.11087872995644178,True,,410004,1010004,100,5,"[[0.5025420556712911, 0.403220067875347], [0.8062626939230776, 0.15479428812966536], [0.728864920027161, 0.3633710879844952], [0.3788557333026085, 0.9474072140388579], [0.604875155226743, 0.6495615430261206], [0.8254599247484737, 0.5327158088758711], [0.5552286353002276, 0.8585115837441882], [0.14167078313034873, 0.641889580821068]]",0.0625792592613398,0.003426402388457156,0.0021740933308516037,0.00845792728844692,0.61,0.0,0.61,0.13279372094429087,0.004243747905656946,0.002279085523905328,0.009103014402150578,0.604,0.6875313006610005,0.604,0.11534821867584559,0.004248959615232227,0.002340058171649014,0.009470269211607518,0.5959999999999999,0.49995106085508817,0.5959999999999999
3,15,4556,1,0.0881663116754875,0.1028540850573304,True,,310001,910001,100,5,"[[0.8058650076995835, 0.7327996451625162], [0.8245386420456805, 0.5688880332680509], [0.868408841420382, 0.4489243809161878], [0.3775913514057404, 0.7586289461780319], [0.6035851592478568, 0.45365815665109455], [0.5237703257074443, 0.13184975267998064], [0.27402240984551224, 0.7595516212612548], [0.5823921029219, 0.6313693974639524]]",0.06115734528481194,0.00636589234918606,0.0026164972739128817,0.01730897909226074,0.646,0.0,0.646,0.11592151127758096,0.007832802770736266,0.00267593281084274,0.018063962042936192,0.63,0.5147756141786878,0.63,0.11716874183346435,0.0072701414047337725,0.0026738660182294436,0.01746791454406964,0.6300000000000001,0.5315680383811328,0.6300000000000001
3,15,4556,2,0.0881663116754875,0.11457856071946226,True,,410004,1010004,100,5,"[[0.8058650076995835, 0.7327996451625162], [0.8245386420456805, 0.5688880332680509], [0.868408841420382, 0.4489243809161878], [0.3775913514057404, 0.7586289461780319], [0.6035851592478568, 0.45365815665109455], [0.5237703257074443, 0.13184975267998064], [0.27402240984551224, 0.7595516212612548], [0.5823921029219, 0.6313693974639524]]",0.06853514011378815,0.007134983219711092,0.0028079235504274666,0.026747992216393894,0.618,0.0,0.618,0.1385339996477023,0.008544263852784178,0.0029420840480317892,0.02641881034961337,0.6060000000000001,0.6766343780906542,0.6060000000000001,0.11271110346865634,0.007291485550016847,0.002988365954833855,0.016847401615016733,0.616,0.46775714486643755,0.616
4,32,712,1,0.0918806006138034,0.10418725050030417,True,,310001,910001,100,5,"[[0.5368539418674692, 0.648365663397414], [0.0778087967927921, 0.6609908325706138], [0.2922405664378724, 0.9017734596267976], [0.6825665725454289, 0.9533706197517913], [0.7416076004088679, 0.5713628364517738], [0.7390661951992631, 0.33306586648280073], [0.20844230681961368, 0.37979991990477574], [0.7390662960864613, 0.6961333795887689]]",0.06962893574607187,0.008419526665883411,0.0021880213922127667,0.02646716248808113,0.614,0.0,0.614,0.11310849258731157,0.0054471430649613364,0.0021987278995576885,0.00900656830140127,0.598,0.4765530771765857,0.598,0.11700578683391662,0.006929844177845876,0.0022341135032211057,0.008941643136875671,0.6,0.5120486401282327,0.6
4,32,712,2,0.0918806006138034,0.11426269945483017,True,,410004,1010004,100,5,"[[0.5368539418674692, 0.648365663397414], [0.0778087967927921, 0.6609908325706138], [0.2922405664378724, 0.9017734596267976], [0.6825665725454289, 0.9533706197517913], [0.7416076004088679, 0.5713628364517738], [0.7390661951992631, 0.33306586648280073], [0.20844230681961368, 0.37979991990477574], [0.7390662960864613, 0.6961333795887689]]",0.0745202692514453,0.010294335688459643,0.002219654238362391,0.023959393972128228,0.5820000000000001,0.0,0.5820000000000001,0.13079318674763954,0.006748097790772689,0.002233747737399308,0.01285045215208681,0.568,0.5910140709616578,0.568,0.12094415507259626,0.007760719973484334,0.0022302560832624437,0.016147640625663488,0.572,0.4840753889682924,0.572
5,14,3264,1,0.088077896288145,0.10541459698932609,True,,310001,910001,100,5,"[[0.41137079933479703, 0.2508190998379826], [0.5531788544205135, 0.6644592555286525], [0.6393529409332186, 0.4412756387397377], [0.32982656167194324, 0.8718396165928567], [0.7764714221460758, 0.32540632865164926], [0.13625769151139577, 0.6596508083735163], [0.7479724009498038, 0.7200908606853091], [0.410981939940498, 0.9102460590248351]]",0.06786383809633938,0.010195069107648327,0.002178131304179072,0.02692018999299206,0.6319999999999999,0.0,0.6319999999999999,0.1164538632602011,0.008341663498728268,0.002192051252880387,0.01523025909615446,0.612,0.49931036956927033,0.612,0.11867034330038194,0.007556797611285247,0.0021972808228514933,0.01162846662487799,0.62,0.5478124438784018,0.62
5,14,3264,2,0.088077896288145,0.11380844020710659,True,,410004,1010004,100,5,"[[0.41137079933479703, 0.2508190998379826], [0.5531788544205135, 0.6644592555286525], [0.6393529409332186, 0.4412756387397377], [0.32982656167194324, 0.8718396165928567], [0.7764714221460758, 0.32540632865164926], [0.13625769151139577, 0.6596508083735163], [0.7479724009498038, 0.7200908606853091], [0.410981939940498, 0.9102460590248351]]",0.06798585430941173,0.006979969865738114,0.00230874207975142,0.0241495595660986,0.616,0.0,0.616,0.13384748183939044,0.008078897583498775,0.002434212658470073,0.02044770558760689,0.606,0.649776662505339,0.606,0.11955294284023374,0.005148725845389128,0.0023905059180546347,0.01023969538737469,0.604,0.5476410759359622,0.604
6,44,4307,1,0.0935681085542525,0.10427449904359769,True,,310001,910001,100,5,"[[0.9496885441050926, 0.49558305216819926], [0.84101552447093, 0.7991946472874266], [0.6477004110868886, 0.3442992408576916], [0.5802328699539193, 0.46270199427951064], [0.80802406154924, 0.08360580374925061], [0.06902304024393117, 0.21670210530255643], [0.16187399590827986, 0.27343590222494946], [0.3974810940445737, 0.12970178089401635]]",0.06852300230777655,0.006353523385933901,0.0022958407036432187,0.008879722613687673,0.58,0.0,0.58,0.11965180443616807,0.00264218059006104,0.0022659686350512626,0.005833827022703223,0.57,0.5221267506382964,0.57,0.10927138499427806,0.0026902335407772197,0.0022676768576331474,0.006282228961929977,0.572,0.41976111212349315,0.572
