feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
anisotropy,rough_J_t,"(1.02, 1.04]",1.02,1.04,1.03,10,0.1445828684408964,0.03828094297184052,0.012105497077003102
anisotropy,rough_J_t,"(1.04, 1.06]",1.04,1.06,1.05,17,0.14826544878956238,0.033809859962194704,0.008200095518321782
anisotropy,rough_J_t,"(1.06, 1.08]",1.06,1.08,1.07,17,0.14991417650154112,0.03507025418263901,0.008505786018369424
anisotropy,rough_J_t,"(1.08, 1.1]",1.08,1.1,1.09,28,0.15211582290534947,0.05548797711407769,0.010486242014135217
anisotropy,rough_J_t,"(1.1, 1.12]",1.1,1.12,1.11,19,0.15264293490577283,0.03319754450702918,0.007616039035780735
anisotropy,rough_J_t,"(1.12, 1.14]",1.12,1.14,1.13,30,0.16333219773449104,0.05607734935792819,0.010238276402811705
anisotropy,rough_J_t,"(1.14, 1.16]",1.14,1.16,1.15,35,0.14486393818327437,0.02806690575871043,0.004744172963807685
anisotropy,rough_J_t,"(1.16, 1.18]",1.16,1.18,1.17,39,0.1423596721972168,0.026227612855800886,0.004199779225313964
anisotropy,rough_J_t,"(1.18, 1.2]",1.18,1.2,1.19,34,0.15522432034642156,0.044389452572922795,0.007612728311506758
anisotropy,rough_J_t,"(1.2, 1.22]",1.2,1.22,1.21,30,0.13369981714066986,0.02234513162826081,0.004079644214406862
anisotropy,rough_J_t,"(1.22, 1.24]",1.22,1.24,1.23,36,0.1656884095367368,0.06327739181712373,0.010546231969520621
anisotropy,rough_J_t,"(1.24, 1.26]",1.24,1.26,1.25,36,0.14442968933201472,0.03622209602373854,0.006037016003956424
anisotropy,rough_J_t,"(1.26, 1.28]",1.26,1.28,1.27,36,0.14059656203814855,0.03984034816705704,0.00664005802784284
anisotropy,rough_J_t,"(1.28, 1.3]",1.28,1.3,1.29,44,0.1528303241366266,0.06590315089689845,0.00993527381941755
anisotropy,rough_J_t,"(1.3, 1.32]",1.3,1.32,1.31,48,0.1389199169454014,0.03531858636329203,0.005097798836060925
anisotropy,rough_J_t,"(1.32, 1.34]",1.32,1.34,1.33,52,0.16153642398533619,0.048443057705319495,0.006717843403722706
anisotropy,rough_J_t,"(1.34, 1.36]",1.34,1.36,1.35,49,0.14247201028861717,0.03915176425421979,0.005593109179174256
anisotropy,rough_J_t,"(1.36, 1.38]",1.36,1.38,1.37,38,0.14154953889296762,0.02864589728129543,0.004646978166537592
anisotropy,rough_J_t,"(1.38, 1.4]",1.38,1.4,1.39,49,0.14400001340077387,0.03946700174876249,0.0056381431069660705
