feature,n,pearson_r,pearson_p,spearman_rho,spearman_p
mean_dist_to_boundary,4975,-0.23435491137265355,4.8118229232329e-63,-0.27715561593101595,1.9953430713377388e-88
mean_radius,4975,0.1992057533761964,1.0622853079097564e-45,0.23624554094385217,4.589164138365693e-64
mean_pairwise_dist,4975,0.17469091777505857,2.1923181118638793e-35,0.21147836379933954,2.0794316786401596e-51
fraction_near_boundary_0p15L,4975,0.16709371419258845,1.7715764829747894e-32,0.18742873658143708,1.447476822033001e-40
fraction_near_boundary_0p1L,4975,0.1610096486970004,3.01663188846426e-30,0.18553334391638748,9.033426470457046e-40
convex_hull_perimeter,4975,0.14605855505216692,3.9704796852712647e-25,0.179349678841537,3.096368888284443e-37
convex_hull_area,4975,0.1205809720739794,1.4132841731675847e-17,0.14142285243507965,1.2080458157262494e-23
min_dist_to_boundary,4975,-0.09835248776497976,3.5942816562436393e-12,-0.1164125747834351,1.7663832252591492e-16
nearest_neighbor_std,4975,0.11287470844321855,1.4052554445721525e-15,0.0994575079852776,2.053840087183103e-12
min_pairwise_dist,4975,-0.08535205337363093,1.6427777486969871e-09,-0.06923264745683355,1.0193191847384084e-06
angular_gap_std,4975,0.0934978433454204,3.906857741161048e-11,0.06394557595536474,6.3675284306134226e-06
std_radius,4975,-0.013090519748687062,0.3559394300020724,-0.046381635310705785,0.001066361639834241
max_angular_gap,4975,0.06884973702646692,1.1692800025962331e-06,0.041619162880834504,0.003323809230261359
nearest_neighbor_mean,4975,-0.03298642542675395,0.019981107197505777,-0.01221830365157622,0.3888980269967841
anisotropy,4975,0.03869468211908921,0.006340838546097323,-0.006193687925000401,0.6622868519686044
