feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,boot_pearson_low,boot_pearson_high,boot_spearman_low,boot_spearman_high
min_pairwise_dist,50,-0.42661078800027336,0.0020055648496801253,-0.4325090036014405,0.0017078346847008885,-0.590188632180282,-0.22599220453787486,-0.6428537857756492,-0.16729543339169434
std_radius,50,-0.2894439225762988,0.04147194494909061,-0.23130852340936373,0.10604404819123023,-0.5095886061242457,-0.024912280097121473,-0.4761789155138618,0.05549624927870742
nearest_neighbor_mean,50,-0.3749256938603932,0.0073029854960971405,-0.20950780312124848,0.14422546807816888,-0.5986995977595219,-0.060855793345939165,-0.48829112214729825,0.09936019828895364
nearest_neighbor_std,50,0.1222222403610552,0.39779868534465834,0.2051860744297719,0.1528755947518299,-0.12911301275867793,0.4025879826787623,-0.06448962142543174,0.4719498735128107
min_dist_to_boundary,50,-0.052799784551953236,0.7157370888656476,-0.20153661464585834,0.1604728865963983,-0.3377377498076408,0.21436170416845382,-0.436967133559461,0.05804593478500337
fraction_near_boundary_0p1L,50,0.16309573567427088,0.25776510951521125,0.20144584300607768,0.1606653091089427,-0.09046638003638074,0.4254936908374686,-0.07626176751147169,0.4599834587285195
fraction_near_boundary_0p15L,50,0.12998432570016527,0.36827679094361865,0.1793029221515912,0.21279320056735693,-0.24586167483842683,0.45737741411827065,-0.12499151874462668,0.4575239003658094
anisotropy,50,-0.0438426306495646,0.762409306560937,-0.16859543817527012,0.2418409481429686,-0.3013603623779188,0.3041012461822745,-0.438760231146644,0.11440767190337373
convex_hull_perimeter,50,-0.26748697342598976,0.060386821303833965,-0.12192076830732293,0.3989724432787405,-0.519168319190372,0.038896673875763205,-0.420687847634756,0.19308306271800937
mean_dist_to_boundary,50,-0.10677866234457406,0.46048039949721253,-0.10847539015606242,0.4533431839302602,-0.41023256444951295,0.23783408114952592,-0.40766641015775296,0.19214958008296273
angular_gap_std,50,0.06584359756340916,0.649611384448133,-0.09637454981992796,0.5055472333978026,-0.3112609426940156,0.3847807899898184,-0.3395843651958613,0.15681300534399711
max_angular_gap,50,0.05202296414686265,0.7197470728507401,-0.04979591836734694,0.7312843187919351,-0.29013813911961084,0.3872332323647132,-0.3151729839216225,0.23511791623131295
convex_hull_area,50,-0.17349710574107252,0.2282249527244441,-0.03942376950780312,0.7857581521904027,-0.42120691486079986,0.13573851515468277,-0.3319266541047711,0.28240747624931317
mean_pairwise_dist,50,-0.1797154752447459,0.2117251177520216,-0.031644657863145256,0.8273071614491647,-0.4185765289865822,0.1079808876499224,-0.304239936820648,0.26107567574020596
mean_radius,50,-0.10973868372469249,0.448068708163637,0.003793517406962785,0.9791410203209916,-0.37046972915112947,0.19409883375356632,-0.28414927971228265,0.3112333195442212
