feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,boot_pearson_low,boot_pearson_high,boot_spearman_low,boot_spearman_high
angular_gap_std,50,-0.33104774167595563,0.018859626092237153,-0.3447298919567827,0.014221464593885383,-0.5294740206467429,-0.12220729851086093,-0.5766706684790615,-0.08595300301964111
anisotropy,50,-0.27964706658398286,0.04920338443242298,-0.31418967587034813,0.026278731646775515,-0.45190882755274603,-0.09831408156365813,-0.5764518996968625,-0.0374626548897151
max_angular_gap,50,-0.29834997213982767,0.03533614563563414,-0.2984393757503001,0.035278582448279514,-0.5297644166756016,-0.04032662623606332,-0.5517112485837157,-0.006019770694261864
min_pairwise_dist,50,-0.21432270003883555,0.1350221066333434,-0.23121248499399757,0.10619322942109426,-0.4513440399517296,0.05735328051490921,-0.4914271021413273,0.06612385191673151
fraction_near_boundary_0p1L,50,0.26361015744403454,0.0643529721987452,0.20721137910000934,0.14877546342903877,-0.05291204349085397,0.5370735514376088,-0.10318979216192825,0.49013717000310225
nearest_neighbor_std,50,0.19805373151966005,0.16797764803956922,0.19884753901560623,0.1662451438859902,-0.0654554081722722,0.43705160889767897,-0.08427115495599483,0.45934755815516776
min_dist_to_boundary,50,-0.1456398007333353,0.31289063265481487,-0.18770708283313325,0.19177144030035295,-0.4007797044974807,0.09887173768844718,-0.42103364061538706,0.07846327530439316
convex_hull_area,50,0.14999650984802287,0.29847676169732007,0.1361344537815126,0.3458512508899635,-0.12108207563147748,0.40505554770093094,-0.13723987276754207,0.40447147285210716
mean_dist_to_boundary,50,0.10281533429764206,0.4773865412504621,0.09992797118847539,0.4899069551923151,-0.1484808937995864,0.35331258171418306,-0.16792013454512458,0.3592666038326507
fraction_near_boundary_0p15L,50,0.0805379889316186,0.5782176641212478,0.09301958226538348,0.5205441788929646,-0.20632002352008982,0.35363927064407663,-0.18144089194355456,0.36105149366967665
std_radius,50,-0.11254102913772339,0.43648980997639664,-0.09118847539015605,0.5288219438120455,-0.3601110769974757,0.1757433129251393,-0.36731179782053147,0.20127214991978043
mean_pairwise_dist,50,0.02675499901385134,0.8536727774258142,0.08273709483793518,0.5678484153969562,-0.2151924943764959,0.28199304324851404,-0.18116042076283093,0.3477511700554987
convex_hull_perimeter,50,0.025946870618315937,0.8580463909293268,0.06112845138055222,0.6732399810589116,-0.22817359785222732,0.2623629049605077,-0.2252409812409812,0.33352092652963505
mean_radius,50,0.023907450974788143,0.8691022765059322,0.05824729891956783,0.6878351565517051,-0.22138846941860568,0.2832350863819041,-0.21413189898772805,0.33484251600089215
nearest_neighbor_mean,50,0.011055337155592412,0.9392614977431696,0.03452581032412965,0.8118575157889593,-0.26482333999796326,0.2968544464791812,-0.2646511742584238,0.33134639842250907
