feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,boot_pearson_low,boot_pearson_high,boot_spearman_low,boot_spearman_high
std_radius,50,-0.39232810543370433,0.004832997742376494,-0.31188475390156056,0.02746125386371893,-0.6238184929846277,-0.10185193231087042,-0.542150925521815,-0.04329455600510299
fraction_near_boundary_0p1L,50,0.3011844592509538,0.03354849609383183,0.29523521032719,0.03739058608867623,-0.004849258662366506,0.5457598855203031,-0.0019677021330649037,0.5625644532008625
min_dist_to_boundary,50,-0.06275201256517268,0.665067213067008,-0.2864345738295318,0.04373284673469938,-0.4173058529299402,0.2392020864826909,-0.5270292993580385,-0.01812722853141417
mean_dist_to_boundary,50,-0.31116871911018423,0.02783753462953536,-0.28547418967587035,0.04447523534925122,-0.5693718605085777,0.015213614809684098,-0.5495065770941595,0.0036873533544037797
fraction_near_boundary_0p15L,50,0.23298687334298937,0.10346288338991289,0.26979641352478373,0.058119002806925744,-0.1416447720320153,0.5760610749812483,-0.0460209999218699,0.5522065917433135
angular_gap_std,50,-0.0702540425731448,0.6278138932603614,-0.2632893157262905,0.06469032022900346,-0.42649444407700393,0.22410906723558197,-0.520807856088996,0.007942108933786622
max_angular_gap,50,-0.11861893504876539,0.41195946664962757,-0.25656662665066027,0.07208949809828977,-0.46057341134888174,0.19033369390786825,-0.5310199011603721,0.04724291797412707
anisotropy,50,-0.1694771847865248,0.2393516668318989,-0.24830732292917165,0.08208140132577332,-0.3705357271823414,0.14714489172079012,-0.5047778674578131,0.03762025004688269
min_pairwise_dist,50,-0.16809997826575662,0.24324740742542056,-0.1644657863145258,0.25373389032758964,-0.39879171595984647,0.09100414588832335,-0.41480365418148435,0.09532690094844808
mean_radius,50,0.12059392394773574,0.4041623501941821,0.15966386554621848,0.2680510028755649,-0.17459490063923344,0.4054983736112074,-0.13837125402857284,0.4362962245880394
convex_hull_area,50,0.08395220487697153,0.5621561358997266,0.1528451380552221,0.289288291084699,-0.21582177823863474,0.3882381297197905,-0.16492168716989503,0.4540702527368079
mean_pairwise_dist,50,0.04335259741871887,0.7649887142791546,0.12835534213685473,0.3743602118585099,-0.2536021684808867,0.3297234235784819,-0.17690799184781683,0.39967574887448165
nearest_neighbor_std,50,0.055775511774422054,0.7004472216071228,0.09512605042016806,0.511102255623356,-0.1709399042725904,0.32253108725733,-0.18288943896955154,0.3876393536344569
convex_hull_perimeter,50,-0.07305391174407418,0.614136158711815,0.04672268907563025,0.7473018728218163,-0.3471437053609663,0.24282636655984918,-0.259082989177957,0.349951830064376
nearest_neighbor_mean,50,-0.12374402531047927,0.39190456953300723,0.039711884753901555,0.7842298323116965,-0.42534534131183865,0.28484704232840885,-0.2866638265301215,0.3571681096681095
