feature,mdi_importance,permutation_importance_mean,permutation_importance_std,mdi_rank,perm_rank
mean_dist_to_boundary,0.25232308242308116,0.0019520223309615232,3.0648583890840966e-05,1,1
nearest_neighbor_mean,0.07693861353072712,0.0005203552070433137,8.656881853257936e-06,3,2
nearest_neighbor_std,0.09096780688529522,0.0005012925516790681,1.0328887058034796e-05,2,3
min_pairwise_dist,0.07249960814567179,0.00035257593675298447,6.853724880029892e-06,4,4
angular_gap_std,0.06461152851418876,0.0002796809253517901,7.698602573899977e-06,5,5
anisotropy,0.0644845693794662,0.0002458010535285207,3.0833692807459564e-06,6,6
mean_radius,0.05044347168744594,0.0002217652395303927,5.431761446071311e-06,9,7
convex_hull_area,0.04953792810390417,0.00019980821257832736,3.774791427754349e-06,11,8
std_radius,0.05689953017202838,0.00017777333240772525,2.7503582976342275e-06,8,9
min_dist_to_boundary,0.06018386566940418,0.00017508483967726575,2.8318608225025967e-06,7,10
max_angular_gap,0.05033242968527547,0.0001642020964466405,3.403726164510357e-06,10,11
mean_pairwise_dist,0.037744377461992676,0.00015159805510013715,3.2957374400803355e-06,13,12
convex_hull_perimeter,0.04262340630691368,0.00014629356712531256,2.918163369952182e-06,12,13
fraction_near_boundary_0p15L,0.017577324060997063,5.425124775120223e-05,1.5972770258324567e-06,14,14
fraction_near_boundary_0p1L,0.012832457973608144,3.921480572381008e-05,1.0726274164359599e-06,15,15
