feature,mdi_importance,permutation_importance_mean,permutation_importance_std,mdi_rank,perm_rank
mean_dist_to_boundary,0.12870838680808822,0.0006996631163013367,1.140729469963143e-05,1,1
mean_radius,0.09061457063016673,0.000556448108183869,1.3980572259130526e-05,2,2
min_pairwise_dist,0.07958866481749319,0.0003385111353484915,8.175667142599964e-06,5,3
nearest_neighbor_mean,0.07121192141768948,0.00026553642748980194,6.510547058415764e-06,7,4
nearest_neighbor_std,0.08103899265045536,0.0002341636601673526,3.102856622146698e-06,4,5
std_radius,0.07209079358756407,0.0002035753450881359,3.287942374538457e-06,6,6
min_dist_to_boundary,0.08159164890043122,0.0001990022683180442,4.319943817804914e-06,3,7
mean_pairwise_dist,0.05122614941781625,0.0001957705671929841,3.068965449099861e-06,13,8
angular_gap_std,0.06731009011548515,0.00019494540310641906,4.6904170869790875e-06,9,9
convex_hull_perimeter,0.05870013862124452,0.00019064573002781216,3.116593438137997e-06,11,10
anisotropy,0.06981067120315552,0.00017056471011342648,2.304869735518862e-06,8,11
convex_hull_area,0.05496715652272712,0.00014447002435941285,2.7138409829314004e-06,12,12
max_angular_gap,0.060244995130121805,0.0001419646315571012,2.3486937804199225e-06,10,13
fraction_near_boundary_0p15L,0.017340613212970087,4.236216647123633e-05,1.0571162654026482e-06,14,14
fraction_near_boundary_0p1L,0.015555206964591149,3.755016128609942e-05,9.63422825072874e-07,15,15
