feature,mdi_importance,permutation_importance_mean,permutation_importance_std,mdi_rank,perm_rank
mean_dist_to_boundary,0.1415552309500063,0.0009561903960067979,1.4935456694584372e-05,1,1
mean_radius,0.07883265743183447,0.000531487999363611,1.4710943818698307e-05,6,2
nearest_neighbor_mean,0.08261765062175538,0.000437950421356999,8.844742615564584e-06,3,3
nearest_neighbor_std,0.09083282503121855,0.0003789939977689945,8.844363912700518e-06,2,4
min_pairwise_dist,0.07921279802979371,0.0002946674665596083,7.610211786960571e-06,5,5
anisotropy,0.08047619927970015,0.0002273904280089404,4.271769623380135e-06,4,6
convex_hull_perimeter,0.058090172478086344,0.00022554123733070893,4.756860170769254e-06,10,7
angular_gap_std,0.0671357740153141,0.000211166986473269,4.629365176528859e-06,8,8
min_dist_to_boundary,0.07144926319058871,0.0001966203925290299,3.3397737150205844e-06,7,9
convex_hull_area,0.054332071593587834,0.0001869389969972604,4.043819734563799e-06,12,10
mean_pairwise_dist,0.04885580761716682,0.00016779604468981162,2.2469159650977923e-06,13,11
std_radius,0.05959033683875363,0.00014842679140998155,2.4246976948048263e-06,9,12
max_angular_gap,0.055680334950238705,0.00012331151152196522,2.227944017624779e-06,11,13
fraction_near_boundary_0p15L,0.016060077493173452,4.2415581507915266e-05,1.0300686583751595e-06,14,14
fraction_near_boundary_0p1L,0.01527880047878167,4.1204388312709035e-05,1.5339307132366298e-06,15,15
