feature,mdi_importance,permutation_importance_mean,permutation_importance_std,mdi_rank,perm_rank
mean_dist_to_boundary,0.20613672920464082,0.000972446340902933,1.4577322325138678e-05,1,1
nearest_neighbor_mean,0.07892998214961419,0.00031851902097616814,7.266544086399477e-06,3,2
nearest_neighbor_std,0.08887049648825072,0.00028353752655570615,4.911588777922798e-06,2,3
min_pairwise_dist,0.07480426184191483,0.00027118441321216663,5.9827795321973295e-06,4,4
mean_radius,0.06541924824192248,0.00025362112708591914,6.8220387042660334e-06,7,5
angular_gap_std,0.06508022853087983,0.00018002057274605496,5.108964724264623e-06,8,6
anisotropy,0.07009112994506407,0.00016254791788616695,2.355015784312024e-06,5,7
convex_hull_perimeter,0.05178229213952043,0.0001381217056992573,2.732293170692095e-06,10,8
min_dist_to_boundary,0.06662901316381943,0.00012949777596158506,2.0520298740619102e-06,6,9
std_radius,0.0598289052019811,0.00012244624167450936,2.0694269729065155e-06,9,10
convex_hull_area,0.04744703143980379,0.00011788477843186055,2.103411459438366e-06,12,11
mean_pairwise_dist,0.0416265499551538,0.00010632992064324707,1.6852274238910346e-06,13,12
max_angular_gap,0.0502423252025149,9.60640609703086e-05,1.3858783521288244e-06,11,13
fraction_near_boundary_0p15L,0.01907496025701254,3.707832222759053e-05,1.1820751044001917e-06,14,14
fraction_near_boundary_0p1L,0.014036846237907161,2.8408198764850956e-05,9.470232719151698e-07,15,15
