feature,mdi_importance,permutation_importance_mean,permutation_importance_std,mdi_rank,perm_rank
min_pairwise_dist,0.3280126084449831,0.00016489373042343885,3.2079917313886264e-05,1,1
min_dist_to_boundary,0.11886262048108816,4.013334261866038e-05,8.053405065400691e-06,3,2
std_radius,0.09862480408793732,3.1875523051884176e-05,7.980727202405926e-06,4,3
nearest_neighbor_mean,0.1441022358091681,3.117470722602325e-05,7.122795582853305e-06,2,4
mean_dist_to_boundary,0.07566654751696338,1.545537873493205e-05,3.097322590716944e-06,5,5
convex_hull_area,0.0478970881588413,8.544693961443618e-06,2.721809960021948e-06,6,6
angular_gap_std,0.03365609094501339,6.409137668273002e-06,1.4545572451307165e-06,8,7
anisotropy,0.03090964175152969,6.213747387942169e-06,1.2382753131926968e-06,9,8
nearest_neighbor_std,0.03479816927546038,5.853393945742194e-06,1.5712024781432597e-06,7,9
convex_hull_perimeter,0.028985396328617588,4.913695627265606e-06,1.8131704194345734e-06,10,10
max_angular_gap,0.02470219072455488,4.749741546342377e-06,1.030979918954082e-06,11,11
mean_pairwise_dist,0.010636818985500174,2.036497187151455e-06,5.256821807750396e-07,13,12
mean_radius,0.011640816587840453,1.7936736271145193e-06,4.805637515121068e-07,12,13
fraction_near_boundary_0p1L,0.008667788702264352,1.4267032631712448e-06,3.629868107571802e-07,14,14
fraction_near_boundary_0p15L,0.00283718220023768,5.099787240629794e-07,1.1656217138313126e-07,15,15
