feature,mdi_importance,permutation_importance_mean,permutation_importance_std,mdi_rank,perm_rank
min_pairwise_dist,0.1804686069485509,3.703040793647917e-05,6.1556337126623835e-06,1,1
angular_gap_std,0.1699226936169422,3.3963672787109796e-05,6.71205871826019e-06,2,2
nearest_neighbor_std,0.08176145344618325,1.5959537318460488e-05,3.519895737172249e-06,5,3
max_angular_gap,0.09976912463730406,1.3826577657325542e-05,3.6323494549476668e-06,3,4
std_radius,0.08426880147319177,1.311430462236407e-05,4.092772545225962e-06,4,5
min_dist_to_boundary,0.06584346584916352,1.0661547245412482e-05,3.1301569380566716e-06,6,6
convex_hull_perimeter,0.0479673245963042,9.083626947974922e-06,2.3236764899668763e-06,10,7
mean_dist_to_boundary,0.048943271501827056,6.397269977864186e-06,1.4240247764926476e-06,9,8
fraction_near_boundary_0p1L,0.05490484927051717,5.813410354743809e-06,1.7135099328069319e-06,8,9
nearest_neighbor_mean,0.03836120405971725,5.585955887631955e-06,1.3747336464727717e-06,11,10
anisotropy,0.06027738434042067,5.497675708196719e-06,1.1014599551347069e-06,7,11
mean_radius,0.027160048513751537,3.1275478661312273e-06,1.2851613164526886e-06,12,12
convex_hull_area,0.017216819914095058,1.492930956228671e-06,2.647010009148637e-07,13,13
mean_pairwise_dist,0.012518754913639124,1.0767712964027115e-06,2.64660625476743e-07,14,14
fraction_near_boundary_0p15L,0.010616196918392206,9.422414438536226e-07,2.647785668231113e-07,15,15
