feature,mdi_importance,permutation_importance_mean,permutation_importance_std,mdi_rank,perm_rank
std_radius,0.20611893840615644,4.166825813396717e-05,1.1235015746405255e-05,1,1
nearest_neighbor_mean,0.14355415948153993,2.0329340753736708e-05,4.868679528299093e-06,2,2
mean_dist_to_boundary,0.11278164863989827,1.3206828063654231e-05,3.038898020786356e-06,3,3
min_pairwise_dist,0.0780034925541018,1.0379097256902232e-05,1.922350148621266e-06,5,4
nearest_neighbor_std,0.07054750989218811,9.753501055916907e-06,2.2964364617279826e-06,7,5
min_dist_to_boundary,0.07714351836820714,8.61550408462516e-06,2.030076991688021e-06,6,6
max_angular_gap,0.08086190308282819,8.554835533813694e-06,2.8061281352735686e-06,4,7
anisotropy,0.05002942052032937,4.84311444134157e-06,1.161412014178071e-06,9,8
angular_gap_std,0.05368199927450959,4.101753836711825e-06,1.0887121203205848e-06,8,9
convex_hull_area,0.03910000046122333,3.360773170675415e-06,8.204039236058114e-07,10,10
fraction_near_boundary_0p1L,0.02833927691850169,2.1103577299456602e-06,7.011480934047452e-07,11,11
convex_hull_perimeter,0.01752140593565198,1.550819046096207e-06,2.496589540358639e-07,12,12
mean_radius,0.014323627849620824,1.3967052174075566e-06,3.288916960413603e-07,13,13
mean_pairwise_dist,0.013881962653176505,1.2206878253051688e-06,3.0783205421584306e-07,15,14
fraction_near_boundary_0p15L,0.014111135962066985,1.018963294752909e-06,2.79658242446286e-07,14,15
