feature,mdi_importance,permutation_importance_mean,permutation_importance_std,mdi_rank,perm_rank
min_pairwise_dist,0.274141931608943,6.133062713324918e-05,1.0264286180185808e-05,1,1
std_radius,0.13584064091266634,2.7641662608457853e-05,8.149863104313958e-06,2,2
min_dist_to_boundary,0.1240478499288759,2.0763523835444935e-05,5.423944298242113e-06,3,3
angular_gap_std,0.08620651690342677,1.0369437155872887e-05,1.8615334478449748e-06,4,4
nearest_neighbor_std,0.05350819603423256,7.055583759672137e-06,1.69560971241644e-06,8,5
nearest_neighbor_mean,0.060880810434577395,6.627135881154627e-06,1.7660631359981745e-06,6,6
max_angular_gap,0.06265087547468935,6.393617643957193e-06,1.8413892208400283e-06,5,7
anisotropy,0.05731747173525616,6.17102235049064e-06,1.1318789969749901e-06,7,8
convex_hull_perimeter,0.03204666702284626,4.330684559824467e-06,8.563735682573047e-07,10,9
fraction_near_boundary_0p1L,0.03273103384490746,2.4291265389702852e-06,7.847476031672246e-07,9,10
mean_dist_to_boundary,0.030541915257430722,2.2654369555896047e-06,3.578809490967052e-07,11,11
convex_hull_area,0.016248559464123003,1.6466950285566489e-06,3.3051694001075625e-07,12,12
mean_radius,0.014123522479921215,1.3556269699202794e-06,3.3126049606313573e-07,13,13
fraction_near_boundary_0p15L,0.009584948503663813,8.834018530295516e-07,1.75500021014142e-07,15,14
mean_pairwise_dist,0.01012906039443992,8.32829249188831e-07,2.1977493991665565e-07,14,15
