feature,top_mean,rest_mean,mean_diff_top_minus_rest,cohen_d
nearest_neighbor_std,0.07052272929606149,0.0900234285395507,-0.01950069924348921,-0.5747843877157615
anisotropy,3.816107889083116,2.777416446798067,1.038691442285049,0.4713775846653456
mean_dist_to_boundary,0.19455839677021394,0.17925726733321343,0.015301129437000516,0.4105758585363257
convex_hull_perimeter,2.338159017665331,2.4554404934082807,-0.11728147574294967,-0.40877012897595755
convex_hull_area,0.31851926072196995,0.35784054247795233,-0.039321281755982374,-0.4010586467560418
std_radius,0.11715760316600002,0.1273220186639784,-0.01016441549797839,-0.3535203961477322
mean_pairwise_dist,0.4881359049942396,0.5101390425214101,-0.02200313752717048,-0.34503631438571114
min_pairwise_dist,0.13713680908157375,0.12605089368488054,0.011085915396693208,0.3115248254775084
mean_radius,0.32927312391642416,0.34369308802856213,-0.014419964112137973,-0.3072277087651198
fraction_near_boundary_0p15L,0.45,0.4722194388777555,-0.022219438877755515,-0.1329609819297891
min_dist_to_boundary,0.048764564975931804,0.04619630082933174,0.002568264146600066,0.1043861557483528
fraction_near_boundary_0p1L,0.325,0.3121743486973948,0.012825651302605212,0.08288137575926653
max_angular_gap,1.6920592234656588,1.672274406581594,0.01978481688406486,0.06668978973619326
nearest_neighbor_mean,0.21701677496527666,0.21856136459297948,-0.0015445896277028193,-0.04099720713356767
angular_gap_std,0.5202119990351268,0.5161517708484813,0.004060228186645531,0.03132054084373915
